	ERR990557	ERR990558	ERR990559	ERR990560
CG15641-PA	2	0	0	0
CG6308-PA	24	13	7	14
CG6324-PA	5	0	0	0
CG6324-PB	0	19	360	852
CG6340-PB	276	309	219	278
CG6340-PA	52	37	8	22
CG6340-PE	0	0	0	0
CG6340-PF	111	184	101	177
Gmap-PA	437	652	583	631
Gmap-PB	466	443	447	626
Gmap-PC	466	443	447	626
CG7860-PA	4	7	24	25
CG7860-PB	4	7	24	25
CG7872-PA	168	185	66	136
CG8097-PA	27	29	41	112
CG8097-PB	27	29	41	112
CG8105-PA	3	7	3	9
CG8117-PA	0	0	0	0
CG8119-PA	0	0	34	25
CG12708-PA	1	0	6	4
CG12708-PB	1	0	6	4
CG8128-PA	42	20	31	24
CG8128-PB	42	20	31	24
CG8134-PA	19	19	16	17
CG8134-PB	19	19	16	17
CG15601-PA	24	37	30	33
CG15601-PB	8	4	0	33
CG15601-PC	3	0	0	0
CG15601-PD	6	4	11	0
CG9281-PB	491	529	305	396
CG9281-PC	491	529	305	396
CG9281-PD	491	529	305	396
Pis-PA	20	26	33	43
Pis-PB	0	0	0	0
CG9240-PA	28	28	7	27
CG9240-PB	0	0	17	1
CG15599-PD	8	24	751	1333
CG15646-PA	0	2	0	1
CG15646-PB	0	2	0	1
sog-PA	22	25	58	30
sog-PE	22	25	58	30
sog-PB	22	25	58	30
CG9215-PA	93	109	77	74
CG9213-PA	66	66	25	45
CG9213-PB	66	66	25	45
CG15643-PA	0	4	1	3
CG15643-PB	0	4	1	3
CG15642-PA	1	2	1	1
CG15642-PB	1	2	1	1
shtd-PA	368	303	176	293
Scamp-PA	31	36	54	62
Scamp-PC	31	36	54	62
Scamp-PD	4	7	4	15
CG8184-PB	166	20	1	381
CG8184-PH	779	722	868	117
CG8184-PC	40	58	112	5
CG8184-PD	228	350	253	574
CG8184-PE	134	117	254	554
CG8184-PF	40	0	0	0
CG8184-PG	0	0	28	0
CG8191-PA	30	47	29	37
MagR-PA	36	74	20	45
MagR-PB	0	0	0	0
CG8206-PA	22	20	30	35
CG8206-PB	22	20	30	35
CCT6-PA	1790	2046	951	1231
CG8239-PA	16	15	18	24
CG8239-PB	16	15	18	24
CG8260-PA	0	0	0	0
CG8260-PB	8	9	12	10
mRpL3-PA	165	208	65	140
CG17209-PC	257	269	104	179
CG33172-PB	190	250	61	110
mRpS30-PA	254	299	157	198
mRpS30-PB	254	299	157	198
Rhp-PB	10	12	11	32
Rhp-PA	10	12	11	32
CG15602-PA	50	59	47	67
CG15602-PB	50	59	47	67
CG8509-PA	1	6	11	21
sd-PB	15	4	0	12
sd-PA	5	0	0	0
sd-PC	5	0	0	0
sd-PD	1	20	6	18
sd-PE	15	4	0	12
sd-PF	15	4	0	12
sd-PG	15	4	0	12
sd-PT	3	0	0	0
sd-PH	26	4	57	38
sd-PI	26	4	57	38
sd-PQ	22	46	92	105
sd-PR	15	4	0	12
sd-PS	15	4	0	12
sd-PJ	1	20	6	18
sd-PK	15	4	0	12
sd-PL	5	0	0	0
sd-PM	26	4	57	38
sd-PN	5	0	0	0
sd-PO	1	20	6	18
sd-PP	1	20	6	18
sd-PU	1	20	6	18
CG8565-PA	1	1	14	6
CG8578-PA	50	54	45	64
CG8578-PB	50	54	45	64
CG8578-PC	50	54	45	64
CG15914-PA	39	62	50	46
Gbeta13F-PA	33	43	42	51
Gbeta13F-PC	33	43	42	51
Gbeta13F-PE	33	43	42	51
Gbeta13F-PF	33	43	42	51
Gbeta13F-PG	33	43	42	51
Gbeta13F-PH	33	43	42	51
Gapdh2-PA	308	309	418	371
Gapdh2-PC	308	309	418	371
CG16952-PA	77	18	0	65
CG16952-PB	77	18	0	65
CG16952-PC	77	18	0	65
CG16952-PE	0	256	218	0
CG16952-PD	77	18	0	65
CG15916-PA	95	121	76	83
shi-PH	0	0	7	1
shi-PI	0	0	7	1
shi-PB	0	0	7	1
shi-PC	0	0	7	1
shi-PA	0	0	7	1
shi-PE	0	0	7	1
shi-PF	0	0	2	4
shi-PG	0	0	2	4
shi-PP	255	212	60	258
shi-PJ	0	0	2	4
shi-PK	0	0	2	4
shi-PL	0	0	0	0
shi-PM	0	0	0	0
shi-PN	0	27	0	0
shi-PO	213	173	216	107
Lrp4-PB	1	1	2	1
Lrp4-PD	2	2	3	2
Lrp4-PC	2	2	3	2
CG8916-PB	0	0	0	0
CG8916-PC	0	0	0	0
CG8924-PB	74	69	28	86
Rrp47-PA	103	100	51	71
Rrp47-PB	103	100	51	71
Stim-PA	381	218	597	381
Stim-PG	9	11	22	21
Stim-PD	170	294	0	407
Stim-PF	9	11	22	21
Ranbp16-PB	0	0	16	0
Ranbp16-PH	0	0	16	0
Ranbp16-PC	0	0	22	0
Ranbp16-PE	0	0	1	0
Ranbp16-PF	198	182	84	174
Ranbp16-PG	149	113	74	110
CycD-PD	127	151	69	102
CycD-PE	127	151	69	102
CycD-PF	127	151	69	102
MSBP-PA	214	235	313	282
MSBP-PB	214	235	313	282
MSBP-PC	214	235	313	282
AlkB-PA	40	33	17	40
AlkB-PB	40	33	17	40
Myb-PA	203	205	133	195
Myb-PB	203	205	133	195
Myb-PD	203	205	133	195
Myb-PE	203	205	133	195
UBL3-PA	75	67	60	87
UBL3-PB	75	67	60	87
UBL3-PC	75	67	60	87
sun-PA	80	152	82	103
sun-PB	0	0	0	0
ArgRS-PA	406	466	217	305
Chc-PA	402	389	345	383
Chc-PB	402	389	345	383
Chc-PC	402	389	345	383
Chc-PD	402	389	345	383
Chc-PE	402	389	345	383
Chc-PF	402	389	345	383
Chc-PG	402	389	345	383
PGRP-LE-PA	71	83	59	67
PGRP-LE-PB	71	83	59	67
CG32581-PA	0	4	90	42
CG32581-PB	0	4	90	42
CG8974-PC	60	63	74	78
CG8974-PA	60	63	74	78
CG8974-PB	60	63	74	78
CG8974-PD	60	63	74	78
CG8974-PE	60	63	74	78
Paf-AHalpha-PA	29	30	14	23
Paf-AHalpha-PB	29	30	14	23
Efhc1,1-PA	3	4	2	12
CG8952-PA	5	19	82	75
Graf-PD	56	9	0	53
Graf-PE	56	9	0	53
Graf-PA	56	9	0	53
Graf-PG	48	107	169	124
Graf-PH	48	107	169	124
Graf-PI	48	107	169	124
Graf-PJ	56	9	0	53
CG8944-PB	95	91	81	78
CG11679-PA	75	87	59	61
Arp6-PA	249	282	178	207
CG12379-PB	16	41	18	36
Mfe2-PA	48	62	94	103
Mfe2-PB	48	62	94	103
Prosalpha4-PA	525	732	420	503
eas-PC	21	25	41	35
eas-PB	21	25	41	35
eas-PA	21	25	41	35
eas-PF	14	6	20	27
eas-PG	0	0	0	0
eas-PH	21	25	41	35
eas-PI	21	25	41	35
eas-PJ	14	6	20	27
UQCR-14-PA	295	398	320	304
CG3632-PE	281	265	290	268
CG3632-PF	0	0	0	0
CG3632-PG	0	0	0	0
CG3632-PH	0	0	0	0
CG3632-PI	0	0	0	0
CG3632-PJ	0	0	0	75
CG3679-PA	140	143	83	138
CG3679-PB	140	143	83	138
SWIP-PB	105	105	68	76
CG32579-PA	48	48	36	38
CG32579-PB	0	0	0	0
CG32579-PC	21	29	10	60
CalpC-PA	64	44	55	72
sl-PA	356	344	257	331
U2af50-PA	155	232	84	177
U2af50-PB	32	8	0	0
U2af50-PC	193	219	187	212
U2af50-PD	155	232	84	177
CG9921-PB	4	14	12	18
CG9921-PC	4	14	12	18
CG9919-PA	0	0	0	2
CG9919-PB	1	2	1	0
CG9917-PA	48	69	71	67
CG9917-PB	48	69	71	67
Cyp1-PA	2275	3203	1358	2004
CG9915-PB	202	220	122	165
CG9915-PC	202	220	122	165
CG9914-PA	64	145	526	311
CG9914-PB	64	145	526	311
CG9911-PD	68	45	51	60
CG9911-PB	68	45	51	60
CG9911-PA	68	45	51	60
CG9911-PC	0	34	32	47
kat80-PB	134	4	59	84
kat80-PA	134	4	59	84
kat80-PC	101	442	49	94
CG12507-PB	0	0	1	1
Fur2-PB	120	158	35	0
Fur2-PE	0	0	0	1
Fur2-PG	0	0	0	1
Fur2-PA	120	158	35	0
Fur2-PD	0	0	0	1
Fur2-PC	120	158	35	0
Fur2-PF	0	0	0	1
Fur2-PH	152	128	52	122
Fur2-PI	296	123	319	398
CG4239-PA	13	9	24	15
CG4239-PC	13	9	24	15
CG4239-PB	13	9	24	15
CG4239-PD	13	9	24	15
mei-41-PA	232	184	100	228
CG4301-PA	0	0	0	0
CG4301-PB	0	0	0	0
CG4301-PC	11	29	101	37
Traf-like-PC	0	0	9	0
Traf-like-PB	1	2	0	5
Traf-like-PA	0	0	18	10
Traf-like-PF	1	2	0	5
Traf-like-PG	1	2	0	5
Traf-like-PD	1	2	0	5
Traf-like-PE	1	2	0	5
rngo-PA	98	124	57	84
rngo-PB	98	124	57	84
Rok-PA	204	97	0	169
Rok-PB	120	206	83	117
Rok-PC	136	66	374	2
Rok-PD	0	16	0	218
CG9947-PA	15	24	13	16
CG9947-PB	0	0	0	0
AnxB11-PA	23	16	27	35
AnxB11-PB	13	18	36	29
AnxB11-PC	23	16	27	35
AnxB11-PD	0	0	0	0
AnxB11-PE	13	18	36	29
AnxB11-PF	23	16	27	35
AnxB11-PG	13	18	36	29
CG9981-PA	0	0	5	5
CG9981-PB	0	0	5	5
CG9981-PC	0	0	5	5
TH1-PA	122	150	90	151
TH1-PB	122	150	90	151
CG9992-PB	157	187	108	189
CG9992-PA	55	56	32	65
CG9992-PD	55	56	32	65
CG9992-PE	55	56	32	65
CG9992-PC	55	56	32	65
RpS19a-PD	326	476	196	372
RpS19a-PB	326	476	196	372
RpS19a-PC	326	476	196	372
RpS19a-PA	326	476	196	372
RpS19a-PE	326	476	196	372
mthl1-PA	12	8	13	13
mthl1-PB	12	8	13	13
CG32573-PA	3	6	9	10
CG32573-PC	3	6	9	10
CG4653-PA	2	10	30	18
CG13008-PA	1	3	0	1
CG32572-PA	0	3	1	2
TwdlX-PA	1	5	4	1
TwdlY-PA	1	0	0	2
TwdlZ-PB	0	0	0	1
Twdlalpha-PA	3	7	3	2
mRpL22-PA	190	176	93	106
Sap30-PA	55	80	87	44
Sap30-PB	55	80	87	44
CG4768-PA	22	22	14	17
CG4768-PB	22	22	14	17
CG4768-PC	22	22	14	17
CG4789-PA	94	107	67	108
CG13005-PA	114	154	66	65
ppk28-PA	9	10	16	5
CG4829-PB	16	33	49	82
CG4829-PA	64	41	65	60
CG4829-PC	64	41	65	60
CG4829-PD	0	0	0	0
CG4829-PE	0	0	0	0
CG4829-PF	0	0	0	0
CG4872-PA	51	63	49	81
Rcp-PB	36	28	19	25
Rcp-PC	36	28	19	25
CG4880-PA	200	231	41	99
CG4880-PB	0	0	0	0
CG13002-PA	0	0	2	0
CG4928-PA	15	34	249	120
CG4928-PB	15	34	249	120
CG4928-PC	0	0	0	0
CG33252-PA	0	0	0	0
DENR-PA	90	113	84	93
DENR-PB	90	113	84	93
Nprl2-PA	77	77	22	55
CG13003-PA	6	6	10	13
CG13003-PB	0	0	10	5
CG13003-PC	0	0	10	5
CG13004-PA	3	0	3	0
CG13004-PC	3	0	3	0
CG13004-PB	3	0	3	0
CG13004-PD	0	9	9	14
CG9125-PA	89	83	19	62
CG9132-PA	25	3	39	8
CG9132-PB	117	150	125	242
CG9132-PC	25	3	39	8
Rrp45-PA	65	81	26	56
Rrp45-PB	65	81	26	56
CG9609-PA	83	86	64	103
if-PB	0	19	70	53
if-PC	122	63	131	90
if-PD	0	19	70	53
if-PF	0	19	70	53
goe-PA	71	62	0	58
goe-PB	14	0	108	2
goe-PC	71	62	0	58
CG9672-PA	1	4	15	16
CG9673-PA	9	15	40	22
CG9673-PB	9	15	40	22
spheroide-PA	7	7	49	33
CG9676-PA	0	0	0	1
CG13010-PA	0	0	0	0
CG13012-PB	1	0	1	2
CG13012-PC	1	0	1	2
CG13012-PD	1	0	1	2
CG13012-PE	1	0	1	2
CG15865-PA	4	17	11	4
CG9723-PA	65	68	62	82
RhoGAP15B-PB	8	435	435	483
RhoGAP15B-PC	630	107	91	295
CG4949-PA	40	45	26	42
CG4949-PC	40	45	26	42
CG4955-PA	0	0	0	0
CG16700-PA	18	17	369	410
CG4991-PB	0	0	0	0
CG4991-PA	0	0	0	0
CG4991-PF	0	0	0	0
CG4991-PD	145	184	235	273
CG4991-PE	0	0	0	0
baz-PB	3	0	0	3
baz-PA	391	296	369	441
baz-PC	26	0	0	9
baz-PD	41	97	134	158
CG5070-PA	1	0	79	0
CG32564-PA	0	0	8	0
CG32563-PA	0	0	0	0
CG32563-PB	0	0	0	0
CG5162-PA	11	13	70	58
CG5162-PB	11	13	70	58
CG12998-PA	24	15	1	8
CG12998-PB	24	15	1	8
CG5172-PC	0	1	0	0
CG5172-PD	1	0	0	0
CG10597-PB	0	0	0	0
CG10598-PA	0	0	0	0
CG10598-PC	0	0	0	0
CG12995-PA	7	0	4	1
CG8918-PA	0	2	4	4
xmas-2-PA	356	290	189	260
xmas-1-PA	29	23	19	21
RpS5a-PA	919	1241	807	1318
RpS5a-PB	919	1241	807	1318
RpS5a-PC	919	1241	807	1318
RpS5a-PD	919	1241	807	1318
Arpc3B-PA	7	6	22	39
Arpc3B-PB	0	0	0	0
Arpc3B-PC	0	0	0	0
CG8945-PC	12	11	14	10
wcy-PA	0	9	37	22
wcy-PE	10	0	0	0
wcy-PF	12	65	11	27
wcy-PC	22	0	0	0
wcy-PD	0	9	37	22
wcy-PG	65	30	30	90
Ubr1-PA	360	329	385	476
Ubr1-PB	360	329	385	476
Ubr1-PC	360	329	385	476
CG13000-PA	1	0	1	4
CG13001-PA	36	37	24	32
wus-PA	26	21	6	32
wus-PB	26	21	6	32
CG5445-PB	21	18	11	20
CG5445-PA	21	18	11	20
CG5445-PD	21	18	11	20
CG5445-PF	21	18	11	20
CG5445-PG	21	18	11	20
B-H2-PA	0	2	1	0
B-H2-PB	1	0	0	0
B-H1-PA	0	0	0	0
B-H1-PB	0	0	0	0
CG5613-PA	27	26	18	36
CG5613-PB	2	0	8	0
CG8568-PA	0	4	0	2
p-cup-PA	0	0	6	0
CG12994-PA	0	0	0	0
CG8611-PA	91	46	80	89
CG8611-PB	249	355	24	27
CG8611-PC	231	323	82	253
Fim-PA	336	253	259	362
Fim-PC	0	0	0	0
Fim-PD	49	130	85	77
CG8661-PA	0	2	10	34
CG8664-PA	0	0	0	1
CG8664-PB	0	0	0	1
CG8675-PA	239	423	97	199
CG8915-PA	68	64	55	60
CG8915-PB	68	64	55	60
CG12991-PA	0	0	0	1
CG12991-PB	0	0	0	1
CG12991-PC	0	0	0	0
CG12991-PD	72	56	109	145
CG12991-PE	0	0	0	0
CG12991-PF	0	0	0	1
CG12992-PB	2	1	7	0
CG12992-PC	0	0	0	45
CG12992-PD	2	1	7	0
CG12992-PE	2	1	7	0
X11L-PA	109	141	1	175
X11L-PC	40	50	0	0
X11L-PB	40	50	0	0
X11L-PE	69	0	141	11
X11L-PF	5	7	0	0
ND-24-PA	109	120	81	112
ND-24-PB	109	120	81	112
CG5800-PA	561	667	269	318
par-6-PA	49	62	50	47
par-6-PB	49	62	50	47
unc-4-PB	0	0	0	0
unc-4-PC	0	0	0	0
unc-4-PD	4	0	0	0
OdsH-PA	0	0	0	0
CG6398-PA	115	145	41	91
CG6398-PB	115	145	41	91
e(y)1-PA	31	24	15	23
Ucp4A-PA	6	17	23	15
Ucp4A-PB	6	17	23	15
Ucp4A-PC	3	0	1	0
CG32557-PA	0	0	0	2
CG32554-PA	17	30	10	25
CG15814-PB	46	62	29	44
CG15814-PA	46	62	29	44
CG15814-PC	46	62	29	44
CG15814-PD	0	0	0	0
CG8142-PA	127	142	60	102
Socs16D-PA	113	111	139	145
Socs16D-PB	0	0	0	0
CG12986-PA	0	0	0	0
CG8173-PA	327	346	163	267
CG12990-PA	6	1	16	3
IntS2-PA	206	186	113	144
RhoGAPp190-PB	39	32	125	70
RhoGAPp190-PC	39	32	125	70
RhoGAPp190-PA	39	32	125	70
RhoGAPp190-PD	120	172	2	8
RhoGAPp190-PE	0	0	0	96
RhoGAPp190-PF	22	0	70	0
RhoGAPp190-PG	192	142	158	148
CG8289-PA	321	318	133	250
CG8289-PB	9	15	0	23
CG8326-PA	129	167	48	59
stas-PA	105	132	192	192
stas-PB	53	47	47	92
Ankle2-PD	213	233	45	150
Ankle2-PE	213	233	45	150
Ankle2-PF	0	0	67	35
Ankle2-PG	0	0	61	29
CG6762-PA	12	0	25	36
CG6762-PB	0	0	0	0
CG6762-PC	0	0	0	0
CG6762-PD	0	9	13	0
CG6769-PA	170	177	65	122
CG6769-PB	170	177	65	122
CG12985-PA	6	0	6	4
CG6788-PA	3	3	0	4
GSS-PK	0	0	0	0
GSS-PE	13	13	22	31
GSS-PF	0	0	0	0
GSS-PG	98	125	121	119
GSS-PH	65	68	67	58
GSS-PI	65	68	67	58
GSS-PJ	13	13	22	31
CG6847-PA	50	40	81	69
CG6847-PB	50	40	81	69
CG15373-PA	0	0	0	0
CG15373-PB	0	0	0	0
Ada3-PA	1	6	17	17
Ada3-PC	79	79	48	111
scu-PA	75	73	46	63
scu-PB	21	14	44	40
RhoGAP16F-PB	0	0	0	1
RhoGAP16F-PC	0	0	0	1
RhoGAP16F-PD	0	0	0	1
RhoGAP16F-PE	9	20	30	43
RhoGAP16F-PF	0	0	0	1
Taf8-PA	53	53	40	62
CG7135-PA	2	2	6	0
Mvb12-PA	22	19	16	16
Mvb12-PB	22	19	16	16
Mvb12-PD	22	19	16	16
CG7536-PB	42	56	46	38
CG7536-PA	42	56	46	38
CG7536-PC	42	56	46	38
CG7536-PD	42	56	46	38
CG12672-PA	3	1	2	0
CG7772-PA	6	5	8	12
Arp8-PA	60	82	32	83
Frq2-PA	10	8	15	16
Frq2-PB	10	8	15	16
Frq2-PC	10	8	15	16
Frq2-PD	10	8	15	16
Him-PA	0	0	2	3
CG6106-PA	6	4	3	6
CG6106-PB	6	4	3	6
CG6179-PA	16	18	11	24
Tsf1-PA	766	690	2050	1098
Tsf1-PC	766	690	2050	1098
CG15056-PA	1	1	5	9
CG6290-PA	0	0	1	1
CG32551-PB	0	0	0	0
CG32548-PB	0	0	0	0
CG32548-PC	0	0	1	0
CG32549-PD	0	0	0	0
CG32549-PE	200	168	257	243
CG32549-PB	0	0	0	0
CG32549-PF	0	0	0	0
CG32549-PG	41	42	11	46
CG32549-PH	41	42	11	46
betaCOP-PA	509	519	451	570
por-PA	17	14	8	19
por-PB	17	14	8	19
por-PC	17	14	8	19
CG6123-PA	0	0	0	0
CG6123-PB	0	0	0	0
CG6023-PA	0	2	2	0
CG6023-PC	5	4	0	3
upd1-PA	3	2	0	2
upd1-PB	3	2	0	2
upd1-PC	3	2	0	2
CG15059-PB	0	0	0	0
CG15059-PC	0	0	0	0
upd2-PB	0	0	2	0
Hesr-PA	5	17	0	2
Xrcc2-PA	5	3	3	8
HisRS-PA	664	727	462	651
HisRS-PC	7	11	0	8
HisRS-PD	216	182	44	95
HisRS-PE	7	11	0	8
CG15047-PA	15	18	4	19
CG6540-PA	156	134	84	135
fu-PA	100	97	69	118
phm-PA	11	25	7	17
phm-PB	11	25	7	17
Cyp308a1-PA	0	0	0	0
CG12609-PB	0	0	0	0
CG6873-PA	0	0	0	0
Cyp18a1-PA	22	25	74	102
Cyp18a1-PB	22	25	74	102
CG6696-PA	9	5	3	6
CG6659-PA	41	69	62	83
CG6659-PB	135	109	139	131
Ing3-PA	56	55	22	59
CG6617-PA	56	81	47	63
Rip11-PA	127	243	126	435
Rip11-PC	59	50	14	13
Rip11-PD	126	62	320	0
Rip11-PE	1	0	0	0
Rip11-PB	0	0	0	0
wgn-PA	58	31	17	69
wgn-PB	0	10	15	9
CG15040-PA	0	0	0	3
CG15042-PA	0	0	0	0
CG6481-PA	0	0	2	1
CG6470-PA	2	1	1	1
CG6470-PB	2	1	1	1
Ggt-1-PA	158	172	70	92
Ggt-1-PB	158	172	70	92
Wnt5-PA	54	36	36	59
Wnt5-PB	54	36	36	59
GalNAc-T2-PA	18	26	23	30
GalNAc-T2-PB	18	26	23	30
GalNAc-T2-PC	18	26	23	30
CG15043-PA	3	10	14	17
CG15043-PB	3	10	14	17
CG15044-PA	0	5	3	1
CG15046-PA	7	3	11	12
psh-PA	6	5	13	5
Hayan-PA	0	0	0	0
Hayan-PB	25	33	19	19
Hayan-PD	25	33	19	19
CG6891-PA	19	32	163	141
CG6891-PB	0	0	0	0
CG6891-PC	0	0	0	0
Atg101-PA	41	35	23	50
CG7058-PB	3	5	0	7
CG7101-PA	22	30	30	28
Pvf1-PA	39	0	0	0
Pvf1-PB	0	31	0	17
Pvf1-PC	0	0	30	7
Usp39-PA	247	202	103	165
CG32544-PA	0	0	0	0
CG32544-PB	0	0	0	0
CG7332-PA	36	35	39	46
CG7332-PB	36	35	39	46
SdhBL-PA	0	0	0	0
SdhBL-PC	0	0	0	0
CG7378-PA	21	0	47	21
CG7378-PB	16	11	8	46
CG7378-PC	0	18	0	7
CG7358-PA	97	229	162	201
CG7358-PB	165	0	0	0
CG7358-PC	0	0	0	14
CG7326-PA	30	29	31	46
CG7326-PB	30	29	31	46
CG7322-PA	9	12	39	17
CG7322-PB	9	12	39	17
CG7322-PC	9	12	39	17
CG7280-PA	153	137	70	120
bnb-PB	3	1	5	2
bnb-PC	3	1	5	2
bnb-PA	3	1	5	2
bnb-PD	3	1	5	2
CG6961-PA	173	221	98	100
CG18259-PA	182	160	184	268
CCKLR-17D3-PB	0	0	0	7
CG14190-PA	0	0	6	0
CG7406-PA	0	0	0	0
CG14191-PA	0	0	0	2
CG7453-PA	315	366	209	270
CG33253-PA	0	0	0	0
CG33253-PC	7	0	0	0
CG33253-PB	0	3	24	17
Mec2-PA	2	5	19	30
HP1D3csd-PA	3	7	102	111
CG14194-PA	23	58	0	46
CG14194-PB	53	46	67	80
Mur18B-PA	232	591	9530	3120
Muc18B-PA	0	2	2	0
Muc18B-PB	0	2	2	0
CG7884-PA	6	7	3	6
CG7884-PB	0	0	0	0
CG7889-PA	143	145	66	81
Hs3st-B-PA	0	0	0	0
Hs3st-B-PB	0	0	0	0
Vav-PA	87	90	70	73
Vav-PB	87	90	70	73
Vav-PC	0	4	0	0
Vav-PD	0	0	0	0
CG8051-PA	8	20	27	27
CG8051-PB	8	20	27	27
CG8034-PA	78	107	200	322
CG8034-PB	21	0	10	0
CG8028-PC	9	50	13	75
CG8028-PD	0	0	152	0
CG32536-PA	23	24	20	11
CG32537-PA	27	21	11	19
CG32537-PB	27	21	11	19
CG8010-PA	315	351	167	241
rictor-PA	327	87	253	294
rictor-PB	0	94	0	3
rictor-PC	0	99	0	0
CG7992-PA	7	12	77	33
CG14196-PA	16	24	91	107
CG14195-PA	2	3	21	14
CG14195-PB	2	3	21	14
Ulp1-PA	945	797	1075	1688
CG7990-PA	8	0	6	21
CG7990-PD	0	1	4	0
CG7990-PC	0	0	0	0
CG7914-PA	22	21	17	27
CG7556-PA	85	121	99	152
CG7556-PB	85	121	99	152
Inx5-PB	0	0	0	1
Obp18a-PA	9	11	34	14
CG15882-PA	2	0	0	0
CG7423-PA	0	0	0	0
CG12200-PA	9	13	16	29
Naa15-16-PA	577	614	243	383
Naa15-16-PB	577	614	243	383
ND-18-PA	133	140	88	109
Pfrx-PH	0	0	0	0
Pfrx-PD	0	0	0	0
Pfrx-PE	0	0	0	0
Pfrx-PF	0	0	0	0
Pfrx-PA	0	0	0	0
Pfrx-PI	0	0	0	0
Pfrx-PG	6	32	50	25
Pfrx-PB	6	32	50	25
Pfrx-PJ	0	0	0	0
Pfrx-PK	0	0	0	0
Pfrx-PL	0	0	0	0
Pfrx-PM	0	0	0	0
Pfrx-PN	34	0	0	0
CG14200-PA	289	367	0	563
CG14200-PB	115	3	158	8
CG14200-PC	0	6	277	14
car-PB	0	0	0	0
car-PA	0	0	0	0
car-PC	114	124	96	130
CG14204-PA	3	2	9	6
CG14204-PB	3	2	9	6
CG14205-PA	11	15	31	25
CG14207-PA	106	109	193	160
CG14207-PB	17	0	0	25
CG14207-PC	0	12	7	0
CG14207-PD	106	109	193	160
CG14210-PA	188	265	114	134
CG14210-PB	188	265	114	134
MKP-4-PB	27	23	18	17
MKP-4-PC	27	23	18	17
CG14212-PA	2	3	2	2
Rcd-1-PB	80	53	0	86
Rcd-1-PA	80	53	0	86
Rcd-1-PC	0	0	87	0
Sec61gamma-PA	19	32	21	33
Sec61gamma-PB	19	32	21	33
Sec61gamma-PC	19	32	21	33
CG14215-PA	447	418	205	284
CG14215-PB	447	418	205	284
Ssu72-PA	26	42	22	27
Ssu72-PB	0	0	0	0
Ssu72-PC	26	42	22	27
Zw-PA	55	55	52	54
Zw-PB	0	0	0	0
Zw-PC	0	0	0	0
Ubqn-PA	157	146	102	145
Ubqn-PB	157	146	102	145
Cdc42-PA	39	30	36	35
Cdc42-PC	39	30	36	35
Cdc42-PD	39	30	36	35
CG14229-PA	9	7	11	12
CG14229-PC	9	7	11	12
CG14229-PB	9	7	11	12
CG14227-PB	6	4	2	5
dome-PA	232	172	209	264
et-PB	11	7	24	0
et-PC	0	0	0	16
CG14223-PA	16	16	3	26
CG14223-PB	16	16	3	26
CG14223-PC	16	16	3	26
Ranbp21-PA	150	137	45	87
Ranbp21-PB	150	137	45	87
Arp10-PA	46	51	40	68
Arp10-PB	46	51	40	68
CG12237-PA	70	64	46	46
Naa20A-PA	8	0	0	16
Naa20A-PB	25	56	19	0
Naa20A-PC	8	0	0	16
Naa20A-PD	8	0	0	16
CG14221-PB	3	6	2	6
CG14221-PC	0	0	0	0
CG14220-PA	74	74	30	64
CG14220-PB	74	74	30	64
CG14219-PA	1	7	9	21
CG14218-PB	1	3	0	6
CG14218-PC	0	0	3	0
Tao-PE	164	200	154	217
Tao-PD	164	200	154	217
Tao-PB	723	207	186	324
Tao-PA	134	333	98	162
Tao-PH	56	0	0	0
Tao-PF	164	200	154	217
Tao-PG	134	333	98	162
Tao-PI	0	0	0	0
Tao-PJ	37	18	0	52
Grip84-PA	16	0	21	0
Grip84-PB	0	0	5	0
Grip84-PC	0	119	46	51
Grip84-PD	347	461	0	386
Grip84-PE	423	172	178	132
Grip84-PF	0	119	46	51
CG32532-PB	0	0	0	0
CG32532-PC	0	0	0	0
CG32532-PD	1	2	4	0
CG12231-PA	0	1	0	0
l(1)G0156-PA	156	215	108	141
l(1)G0156-PD	61	80	47	117
l(1)G0156-PC	156	215	108	141
ksh-PB	25	15	8	17
CG12204-PA	118	116	69	111
pcm-PA	300	197	140	164
pcm-PB	110	225	69	159
mRpS14-PA	57	80	38	51
mRpS14-PB	57	80	38	51
CG32533-PA	51	61	28	49
CG32533-PB	51	61	28	49
CG14230-PA	514	642	147	344
CG12531-PA	0	0	0	0
CG12531-PB	1	1	1	0
AP-1-2beta-PA	409	333	290	404
CG14234-PA	0	0	0	0
parvin-PA	53	43	38	51
parvin-PB	53	43	38	51
Alr-PA	28	0	35	53
Alr-PB	0	38	0	0
Pmp70-PA	43	42	51	35
Pmp70-PB	43	42	51	35
Pmp70-PC	0	0	0	0
Pmp70-PD	43	42	51	35
SkpD-PA	0	0	0	1
SkpC-PA	1	3	142	245
Nup205-PA	598	389	186	353
Nup205-PB	203	337	175	118
THADA-PC	0	6	0	0
THADA-PB	119	158	68	99
SkpE-PA	1	2	55	138
CG12702-PA	38	32	26	46
CG12702-PC	38	32	26	46
CG12702-PB	38	32	26	46
CG18809-PA	8	6	7	9
CG18809-PB	8	6	7	9
CG18809-PC	8	6	7	9
CG18809-PD	8	6	7	9
meso18E-PA	23	26	33	51
meso18E-PB	23	26	33	51
meso18E-PC	23	26	33	51
meso18E-PD	23	26	33	51
CG14232-PA	64	58	33	54
CG14232-PB	64	58	33	54
CG14231-PA	31	28	13	17
CG14231-PB	31	28	13	17
